column_index,flat_name,type,source_name,source_id,source_parent,property,component,layer2_role,layer2_used,notes
122,col0122__Bone__671_LMiddle3__Rotation__Y,Bone,671:LMiddle3,FA716B68F22E11F0:90AFB54A3B8C3080,671:LMiddle2,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
123,col0123__Bone__671_LMiddle3__Rotation__Z,Bone,671:LMiddle3,FA716B68F22E11F0:90AFB54A3B8C3080,671:LMiddle2,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
124,col0124__Bone__671_LMiddle3__Rotation__W,Bone,671:LMiddle3,FA716B68F22E11F0:90AFB54A3B8C3080,671:LMiddle2,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
125,col0125__Bone__671_LMiddle3__Position__X,Bone,671:LMiddle3,FA716B68F22E11F0:90AFB54A3B8C3080,671:LMiddle2,Position,X,bone_position,False,Bone position ignored for Layer 2
126,col0126__Bone__671_LMiddle3__Position__Y,Bone,671:LMiddle3,FA716B68F22E11F0:90AFB54A3B8C3080,671:LMiddle2,Position,Y,bone_position,False,Bone position ignored for Layer 2
127,col0127__Bone__671_LMiddle3__Position__Z,Bone,671:LMiddle3,FA716B68F22E11F0:90AFB54A3B8C3080,671:LMiddle2,Position,Z,bone_position,False,Bone position ignored for Layer 2
128,col0128__Bone__671_LRing1__Rotation__X,Bone,671:LRing1,FA716B6AF22E11F0:90AFB54A3B8C3080,671:LHand,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
129,col0129__Bone__671_LRing1__Rotation__Y,Bone,671:LRing1,FA716B6AF22E11F0:90AFB54A3B8C3080,671:LHand,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
130,col0130__Bone__671_LRing1__Rotation__Z,Bone,671:LRing1,FA716B6AF22E11F0:90AFB54A3B8C3080,671:LHand,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
131,col0131__Bone__671_LRing1__Rotation__W,Bone,671:LRing1,FA716B6AF22E11F0:90AFB54A3B8C3080,671:LHand,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
132,col0132__Bone__671_LRing1__Position__X,Bone,671:LRing1,FA716B6AF22E11F0:90AFB54A3B8C3080,671:LHand,Position,X,bone_position,False,Bone position ignored for Layer 2
133,col0133__Bone__671_LRing1__Position__Y,Bone,671:LRing1,FA716B6AF22E11F0:90AFB54A3B8C3080,671:LHand,Position,Y,bone_position,False,Bone position ignored for Layer 2
134,col0134__Bone__671_LRing1__Position__Z,Bone,671:LRing1,FA716B6AF22E11F0:90AFB54A3B8C3080,671:LHand,Position,Z,bone_position,False,Bone position ignored for Layer 2
135,col0135__Bone__671_LRing2__Rotation__X,Bone,671:LRing2,FA716B6BF22E11F0:90AFB54A3B8C3080,671:LRing1,Rotation,X,bone_rotation_quaternion,True,Bone rotation quaternion component
136,col0136__Bone__671_LRing2__Rotation__Y,Bone,671:LRing2,FA716B6BF22E11F0:90AFB54A3B8C3080,671:LRing1,Rotation,Y,bone_rotation_quaternion,True,Bone rotation quaternion component
137,col0137__Bone__671_LRing2__Rotation__Z,Bone,671:LRing2,FA716B6BF22E11F0:90AFB54A3B8C3080,671:LRing1,Rotation,Z,bone_rotation_quaternion,True,Bone rotation quaternion component
138,col0138__Bone__671_LRing2__Rotation__W,Bone,671:LRing2,FA716B6BF22E11F0:90AFB54A3B8C3080,671:LRing1,Rotation,W,bone_rotation_quaternion,True,Bone rotation quaternion component
139,col0139__Bone__671_LRing2__Position__X,Bone,671:LRing2,FA716B6BF22E11F0:90AFB54A3B8C3080,671:LRing1,Position,X,bone_position,False,Bone position ignored for Layer 2
140,col0140__Bone__671_LRing2__Position__Y,Bone,671:LRing2,FA716B6BF22E11F0:90AFB54A3B8C3080,671:LRing1,Position,Y,bone_position,False,Bone position ignored for Layer 2
141,col0141__Bone__671_LRing2__Position__Z,Bone,671:LRing2,FA716B6BF22E11F0:90AFB54A3B8C3080,671:LRing1,Position,Z,bone_position,False,Bone position ignored for Layer 2
