frame,time_s,flag_gap_0p2,flag_gap_0p5,flag_artifact_sigma,flag_segment_swap,flag_edge_effect,reason
25365,211.375,False,False,False,False,False,
25366,211.383333,False,False,False,False,False,
25367,211.391667,False,False,False,False,False,
25368,211.4,False,False,False,False,False,
25369,211.408333,False,False,False,False,False,
25370,211.416667,False,False,False,False,False,
25371,211.425,False,False,False,False,False,
25372,211.433333,False,False,False,False,False,
25373,211.441667,False,False,False,False,False,
25374,211.45,False,False,False,False,False,
25375,211.458333,False,False,False,False,False,
25376,211.466667,False,False,False,False,False,
25377,211.475,False,False,False,False,False,
25378,211.483333,False,False,False,False,False,
25379,211.491667,False,False,False,False,False,
25380,211.5,False,False,False,False,False,
25381,211.508333,False,False,False,False,False,
25382,211.516667,False,False,False,False,False,
25383,211.525,False,False,False,False,False,
25384,211.533333,False,False,False,False,False,
25385,211.541667,False,False,False,False,False,
25386,211.55,False,False,False,False,False,
25387,211.558333,False,False,False,False,False,
25388,211.566667,False,False,False,False,False,
25389,211.575,False,False,False,False,False,
25390,211.583333,False,False,False,False,False,
25391,211.591667,False,False,False,False,False,
25392,211.6,False,False,False,False,False,
25393,211.608333,False,False,False,False,False,
25394,211.616667,False,False,False,False,False,
25395,211.625,False,False,False,False,False,
25396,211.633333,False,False,False,False,False,
25397,211.641667,False,False,False,False,False,
25398,211.65,False,False,False,False,False,
25399,211.658333,False,False,False,False,False,
25400,211.666667,False,False,False,False,False,
25401,211.675,False,False,False,False,False,
25402,211.683333,False,False,False,False,False,
25403,211.691667,False,False,False,False,False,
25404,211.7,False,False,False,False,False,
25405,211.708333,False,False,False,False,False,
25406,211.716667,False,False,False,False,False,
25407,211.725,False,False,False,False,False,
25408,211.733333,False,False,False,False,False,
25409,211.741667,False,False,False,False,False,
25410,211.75,False,False,False,False,False,
25411,211.758333,False,False,False,False,False,
25412,211.766667,False,False,False,False,False,
25413,211.775,False,False,False,False,False,
25414,211.783333,False,False,False,False,False,
25415,211.791667,False,False,False,False,False,
25416,211.8,False,False,False,False,False,
25417,211.808333,False,False,False,False,False,
25418,211.816667,False,False,False,False,False,
25419,211.825,False,False,False,False,False,
25420,211.833333,False,False,False,False,False,
25421,211.841667,False,False,False,False,False,
25422,211.85,False,False,False,False,False,
25423,211.858333,False,False,False,False,False,
25424,211.866667,False,False,False,False,False,
25425,211.875,False,False,False,False,False,
25426,211.883333,False,False,False,False,False,
25427,211.891667,False,False,False,False,False,
25428,211.9,False,False,False,False,False,
25429,211.908333,False,False,False,False,False,
